Date;Heat_Load;Cooling_Load;T_Outdoor;Hum_Outdoor;Solar_Irradiance;Wind_Speed
03/01/2023 12:00;60.71645213;5.162776663;7.781954801;88.89142038;138.8137453;12.400844
03/01/2023 13:00;57.45822507;5.265001948;8.256696408;87.2011051;215.0542985;11.18381104
03/01/2023 14:00;52.63423566;5.038891665;9.000707114;84.11953153;226.8004045;14.32907933
03/01/2023 15:00;51.46754038;5.134997913;9.173437286;83.782657;80.97933753;14.0969007
03/01/2023 16:00;51.96446535;5.873336118;9.482280346;83.21442488;53.91542128;13.62138719
03/01/2023 17:00;51.17727434;5.548886532;9.552960328;83.32556652;13.7344898;15.56799863
03/01/2023 18:00;47.30106283;5.728888885;9.685755892;84.11056132;-1.989285532;12.90799437
03/01/2023 19:00;49.40646406;5.005556111;9.996081943;84.10890182;-2.11473961;14.48156967
03/01/2023 20:00;50.83265538;4.948334863;10.12573084;83.67434876;-1.905346357;13.82923087
03/01/2023 21:00;38.50585805;4.013889027;10.27910291;83.01205575;-2.472843734;15.84341228
03/01/2023 22:00;37.16128855;4;10.33475141;83.35589961;-2.319680419;16.63506178
03/01/2023 23:00;36.4951409;4.041608668;10.42616657;83.73965496;-2.573914036;18.87428957
04/01/2023 00:00;32.80586028;3.67243935;10.47040148;83.61999051;-2.552389087;15.90411512
04/01/2023 01:00;29.7748778;3.502831814;10.5900373;84.12847801;-2.14915569;15.59719834
04/01/2023 02:00;29.72057536;3.226620594;10.74810309;84.21514945;-2.47117537;15.80903339
04/01/2023 03:00;29.83778657;3.422324013;10.7773027;85.02810902;-2.662019693;15.86726172
04/01/2023 04:00;31.49311378;3.635772124;10.91038121;85.11476712;-2.691028741;19.80122321
04/01/2023 05:00;32.20441396;3.464224831;11.07637007;84.98512257;-2.670327211;15.07117926
04/01/2023 06:00;36.93034601;3.79373838;11.26744769;85.37364541;-2.620278445;18.33373037
04/01/2023 07:00;46.42245619;4.008332918;11.4591258;85.94931289;-2.583496555;17.7600476
04/01/2023 08:00;53.40877847;5.542219995;11.42472034;87.15566713;-2.587763998;16.37731917
04/01/2023 09:00;50.41466311;5.838888056;11.67608103;87.47134781;-0.035416174;14.89417003
04/01/2023 10:00;57.65495578;6;12.08622193;86.6091378;18.85662291;15.18751267
04/01/2023 11:00;51.72751048;6;12.4498445;85.87238881;42.85392672;15.60714835
04/01/2023 12:00;46.7872859;6.041666804;12.79876007;85.06434444;33.40375824;15.3653839
04/01/2023 13:00;48.19154439;6;12.90522446;85.69983901;43.35962253;13.99703821
04/01/2023 14:00;39.63930436;6;13.00345355;87.14577127;45.55631427;13.42589756
04/01/2023 15:00;45.31774979;6;13.23115885;88.5140437;54.90038967;12.92537642
04/01/2023 16:00;57.62287298;6.704474856;13.64494457;88.80265538;39.02191111;13.60480689
04/01/2023 17:00;51.94824317;6.353888613;13.83660576;87.8440185;8.698728839;15.99864314
04/01/2023 18:00;41.0780521;5.405250252;13.9803454;86.43606472;-1.980837291;12.2666926
04/01/2023 19:00;36.32096604;4.665708081;13.98420048;86.29067602;-2.278295571;11.89673707
04/01/2023 20:00;33.31377251;5.664258801;13.87113533;87.27792878;-2.528626146;13.17131552
04/01/2023 21:00;28.86059229;5.163941759;14.08593949;85.51114377;-2.331085275;16.03507973
04/01/2023 22:00;26.79748901;4.630240962;13.97567352;85.63343017;-1.977112541;15.88388766
04/01/2023 23:00;21.19632208;4.309383543;13.77934981;86.98201939;-2.434427713;15.58373947
05/01/2023 00:00;21.89237322;3.53811152;13.57531688;87.57315359;-2.868897344;15.17290713
05/01/2023 01:00;21.73111064;3.45941726;13.24405617;88.93027052;-2.779380021;15.99028578
05/01/2023 02:00;20.54514774;3.653675156;13.10615608;86.79459774;-2.719866762;18.76647702
05/01/2023 03:00;30.70048815;3.770946483;12.88439568;83.57959315;-2.371161222;18.56701204
05/01/2023 04:00;34.99816384;3.876580871;12.57992623;82.31244587;-2.678670025;16.70071827
05/01/2023 05:00;35.91471304;3.845557822;12.42463286;81.67308043;-2.710396391;14.58567696
05/01/2023 06:00;46.63341658;4.235940855;12.42304588;83.00085477;-2.7566818;12.1568281
05/01/2023 07:00;50.50977136;5.002641151;12.45987;84.40368755;-2.511979677;11.60884254
05/01/2023 08:00;50.12088215;5.003430608;12.43259921;85.76450458;-2.539507994;14.94606628
05/01/2023 09:00;49.57671253;5.544386811;12.53276756;86.59288341;-1.070452866;13.76978372
05/01/2023 10:00;47.2183198;5.764508618;12.82674647;87.23824593;17.68571763;11.92155305
05/01/2023 11:00;40.28667894;6.002592381;13.28138409;85.79156437;59.09901785;12.70343035
05/01/2023 12:00;27.47872842;6.001331148;13.51140536;85.15282344;64.04988132;12.18273649
05/01/2023 13:00;30.38793592;6.000039428;13.49599574;86.14690014;63.22495719;10.5234452
05/01/2023 14:00;27.83103294;6;13.6588809;84.6557989;53.66716419;12.6039587
05/01/2023 15:00;47.44773748;6;13.76788396;83.53017674;50.6585398;11.56411717
05/01/2023 16:00;52.19466582;6;13.17951595;85.19954631;24.59926703;13.19043708
05/01/2023 17:00;31.55909943;6;13.02307479;82.31030583;5.713259297;14.30403433
05/01/2023 18:00;31.78424756;6.562777771;12.04296605;85.89819927;-1.817369002;12.11893629
05/01/2023 19:00;37.3847095;7;11.56506658;88.56991948;-2.336394783;10.6284675
05/01/2023 20:00;44.99852459;6.381668337;11.69932981;84.82477748;-2.79262686;10.92556126
05/01/2023 21:00;31.93267743;5.540000975;11.99744421;76.35680424;-2.477260172;10.79167607
05/01/2023 22:00;30.33880517;5;12.03677721;72.26532664;-2.50825457;10.47415924
05/01/2023 23:00;26.05648215;4.165760799;11.96062482;73.60468252;-2.626992451;11.69687673
06/01/2023 00:00;20.58493052;2.889068179;11.67781781;78.99281074;-2.323884133;10.97670325
06/01/2023 01:00;21.09576197;3.32659099;11.52080233;79.01564995;-2.695936927;10.73814622
06/01/2023 02:00;21.05280283;3.495433878;11.42101142;78.88545555;-2.798352417;10.73705366
06/01/2023 03:00;33.45713719;3.363347047;11.14431304;81.44346863;-2.472729214;11.29784003
06/01/2023 04:00;35.14282433;3.283015029;10.98884316;83.35650334;-2.573607209;11.21660601
06/01/2023 05:00;39.834326;3.160686178;10.91228877;83.62937177;-2.196971634;11.84844487
06/01/2023 06:00;44.23497456;4.258752451;10.85837698;84.12145971;-2.684187131;11.31105486
06/01/2023 07:00;52.33938623;4.623887497;10.94495203;84.71231682;-2.688614847;11.19617293
06/01/2023 08:00;53.37427279;5.372222635;11.17018703;84.14340309;-2.064518867;10.54015674
06/01/2023 09:00;49.05928726;5.229444165;11.38356831;83.11211061;0.154650602;12.05325822
06/01/2023 10:00;49.66328689;5.902778195;11.54256701;82.81758288;12.64714999;11.88178464
06/01/2023 11:00;46.2324568;5.334445977;11.77932529;82.86880408;44.66825102;11.40375127
06/01/2023 12:00;46.91364925;5.036111389;12.07174008;82.43156044;51.85047228;11.70733702
06/01/2023 13:00;46.99539904;5.857220554;12.42903115;81.40118467;67.6009036;10.95648676
06/01/2023 14:00;30.0666071;5.44444014;12.75385534;79.58731517;65.02138652;12.20695124
06/01/2023 15:00;29.0794975;5.933333471;13.19022581;76.99480556;64.20234485;11.87287892
06/01/2023 16:00;28.10240751;6;13.52036569;74.11812471;51.59759928;12.60451313
06/01/2023 17:00;37.54975644;6;13.43200641;73.38393787;12.97187066;60.5535459
06/01/2023 18:00;43.92658322;5.97499972;13.10175163;75.26304696;-1.104825944;13.09139415
06/01/2023 19:00;41.92249393;5.991666667;12.66000387;77.2002647;-2.465258712;14.19917397
06/01/2023 20:00;29.73800045;5.562222924;12.38542358;77.37739304;-2.661198234;11.68215912
06/01/2023 21:00;29.63583489;5.113891661;12.19165617;77.64236512;-2.282848561;12.26461432
06/01/2023 22:00;29.46021072;5.391666109;11.90813874;77.87379727;-2.362308667;12.53263682
06/01/2023 23:00;28.72403908;5;11.85283295;76.20221369;-2.728082162;10.8250971
07/01/2023 00:00;28.66144022;5;11.7891072;74.37583933;-2.726907873;12.01184787
07/01/2023 01:00;26.54818639;4.698334586;11.72024869;72.10630762;-2.652438757;12.34275575
07/01/2023 02:00;28.07591305;4.363889582;11.63842043;70.28439057;-2.213749867;13.71337487
07/01/2023 03:00;27.24306847;4;11.54455516;69.03766913;-2.255996461;9.782875868
07/01/2023 04:00;27.91941491;4.346095998;11.44654479;68.03992176;-2.28700347;10.96784333
07/01/2023 05:00;28.21115999;4.006682337;11.47658631;65.58669443;-2.581605988;9.940855735
07/01/2023 06:00;28.65866938;4.519456862;11.31045128;64.27498451;-2.651403987;10.22265444
07/01/2023 07:00;29.32279355;4.402767579;10.40632619;69.86100712;-2.280784493;12.69292817
07/01/2023 08:00;28.87261341;4.636108197;9.558103825;74.70139582;-2.819145255;11.65200941
07/01/2023 09:00;26.6652499;4.218331246;9.240483654;75.41378449;4.343681457;13.04450845
07/01/2023 10:00;44.08354029;4.966667086;9.089317751;75.04721456;75.83425342;15.03457257
07/01/2023 11:00;43.53819557;4.980555556;9.589621793;73.43489034;153.2162337;15.01576573
07/01/2023 12:00;42.26740619;5;9.92316272;71.05543113;126.8378122;16.17451394
07/01/2023 13:00;39.6783164;5;10.4857822;68.7121645;169.4203488;15.49840146
07/01/2023 14:00;40.11377799;5;10.99798852;66.76293999;84.4083577;19.36389669
07/01/2023 15:00;38.92339078;5;10.7448682;71.66637009;44.96784598;13.69154359
07/01/2023 16:00;26.98692923;5;10.49228244;75.63422037;20.51534028;15.94503429
07/01/2023 17:00;29.54357928;5;10.20467724;80.39197597;10.42327178;18.05658792
07/01/2023 18:00;28.91182946;4.997222082;10.15293676;82.6697365;-0.422377232;19.52212834
07/01/2023 19:00;28.68395135;4.991665972;10.32763807;82.07051009;-2.717847992;22.01045203
07/01/2023 20:00;19.2558025;4.919444027;10.42408137;82.79516767;-2.817314994;20.58198829
07/01/2023 21:00;21.38933999;4.994444584;10.75209432;82.23893016;-2.767553135;17.87238482
07/01/2023 22:00;39.47589332;5;10.97305154;81.4134482;-2.753388387;17.30026941
07/01/2023 23:00;48.71637856;4.423334861;11.19877801;80.53853714;-2.615481511;17.3724756
08/01/2023 00:00;37.42693457;4;11.17443579;80.37727618;-2.315967052;13.56932846
08/01/2023 01:00;35.35043853;4;11.00672028;80.08591175;-2.680048189;13.69600999
08/01/2023 02:00;35.03687171;4;10.90988533;79.87905621;-2.792267353;40.17889476
08/01/2023 03:00;36.22755876;4;10.73066738;79.23062176;-2.779769779;15.68564703
08/01/2023 04:00;33.57295858;4.044443612;10.45856324;78.48367738;-2.400109164;11.88597456
